names	A_loading	corrs	color
C.13.EGR1	1	-0.253049164505695	Blue
C.13.JUNB	1	-0.180313862487707	Blue
C.13.ZFP36	1	-0.0805750351696274	Blue
C.13.CEBPD	1	0.0866726053986803	Red
C.13.JUN	1	-0.299216481954238	Blue
C.13.FOS	1	-0.0753485464018678	Blue
C.13.ATF3	1	-0.130226678463344	Blue
C.13.HES1	1	-0.381969220777098	Blue
C.13.DUSP1	0.297587164437854	-0.125000189695584	Blue
C.16.FABP5	0.0440838550592125	-0.36759637666576	Blue
